Count of comment,Column Labels,,,,,,,,,,,,
Row Labels,ajon0002,Alan,Dave,Freddie,Jimmy,murari.krishnan,Nicky,Thomas,Unknown,Vincent,Grand Total,,
13-Jul,,1,,,4,,,9,,,14,,
14-Jul,,,,,7,,,,,,7,,
15-Jul,,1,,,10,,,,2,,13,,
16-Jul,,3,,,4,,1,1,,,9,,
17-Jul,,,,,5,,,1,1,,7,,
20-Jul,,,,,1,,,,,,1,,
21-Jul,,,,,5,,,1,,,6,,
22-Jul,,,,,,,1,1,,,2,,
23-Jul,,,1,,,,,8,1,,10,,
24-Jul,,,,,,,,8,1,,9,,
27-Jul,,,,,,,1,2,,,3,,
28-Jul,,,,,,,,2,,,2,,
29-Jul,,,,,,,,3,,,3,,
30-Jul,,,,,,,,8,2,,10,,
31-Jul,,,,,,,,6,,,6,,Which authors posted comments on which date
04-Aug,,,,,8,,,11,,,19,,Who posted the most / least?
05-Aug,,,,,2,,,3,,,5,,Which was the busiest / quiest date?
06-Aug,,,,,,,,1,1,,2,,
07-Aug,,,,,2,,,,,,2,,
10-Aug,,,,,4,,,,,,4,,
12-Aug,,,,,7,,,,,,7,,
13-Aug,,,,,5,,1,,3,,9,,
14-Aug,,,,,4,,,,,,4,,
17-Aug,,,,,,,,2,,,2,,
19-Aug,,,,,,,,5,,,5,,
20-Aug,,,,,4,,,4,1,,9,,
21-Aug,,,,,4,,,,,,4,,
24-Aug,,,,,1,,,,1,,2,,
25-Aug,,,,,,,1,2,,,3,,
26-Aug,,,,2,,,,1,,,3,,
27-Aug,,,,,,1,,1,,,2,,
28-Aug,,,,1,,,,,,,1,,
03-Sep,,,,1,,,,1,,,2,,
04-Sep,,,,,,,,5,1,,6,,
07-Sep,,,,2,,,,,,,2,,
08-Sep,,,,,,,,5,,,5,,
09-Sep,,,,,3,,,4,2,,9,,
10-Sep,,,,,2,,,,1,,3,,
16-Sep,,,,,1,,,2,,,3,,
17-Sep,,,,,,,,1,,,1,,
18-Sep,,,,,1,,,,,,1,,
22-Sep,,,,,,,,1,,,1,,
25-Sep,,,,,2,,,1,,,3,,
28-Sep,,,,,1,,,,,,1,,
29-Sep,,,,,7,,,,,,7,,
01-Oct,,,,,2,,,1,,,3,,
02-Oct,,,,,,,,3,,,3,,
06-Oct,,,,,,,,10,,,10,,
07-Oct,,,,,,,,7,,,7,,
08-Oct,,,,,,,,3,,,3,,
09-Oct,,,,,3,,,8,1,,12,,
13-Oct,,,,,,,,1,,,1,,
14-Oct,,,,,4,,,,,,4,,
15-Oct,,,,,,,,1,,,1,,
16-Oct,,,,,,,,4,,,4,,
22-Oct,,,,,11,,,,,,11,,
23-Oct,,,,,9,,,,,,9,,
27-Oct,,,,,4,,,,,2,6,,
28-Oct,,,,,1,,,4,,,5,,
29-Oct,,,,,2,,,11,,,13,,
30-Oct,,,,,1,,,4,,,5,,
02-Nov,9,,,,,,,2,,,11,,
03-Nov,,,,,3,,,2,1,,6,,
04-Nov,,,,,,,,,,4,4,,
05-Nov,,,,,,,,,,1,1,,
12-Nov,,,1,,8,,,3,,,12,,
16-Nov,,,,,6,,,,1,,7,,
17-Nov,,,,,,,,1,1,1,3,,
18-Nov,,,,,,,,,,1,1,,
19-Nov,,,,1,3,,,,1,1,6,,
20-Nov,,,,,,,,12,,,12,,
23-Nov,,,,,1,,,3,1,1,6,,
24-Nov,,,,,,,,1,,3,4,,
25-Nov,,,,,,,,5,,,5,,
26-Nov,,,,,,,,2,,9,11,,
27-Nov,,,,,,,,3,1,3,7,,
Grand Total,9,5,2,7,152,1,5,191,24,26,422,,
